rec	Station	Crime type
348		illegal entry
349		possession of illegal devices
350		Illega entry
351		Illegal entry
352		illegal entry
353		illegal entry
354		possession of illegal devices
355		Possession of illegal devices
356		illegal entry
357		possession of illegal devics
358		possession of wildlife specimen
359		Possession of illegal devices
360		Possession of wildlife protected species
361		Possession of wildlife protected species
362		Negligently permitting domestic animals into awildlife protected
363		illegal entry
364		Negligently permitting domestic animals into awildlife protected
365		possession of wldlife species
366		possession of wildlife protected species
367		illegal entry
368		illegal entry
369		illegal entry
370		Illegal entry
371		Illegal entry
372		Illegal entry
373		illegal entry
374		Illegal entry
375		illegal entry
376		Illegal entry
377		illegal entry
378		Illegal entry
379		Illegal entry
380		Illegal entry
381		Illegal entry into a protected area
382		Illegal entry
383		
384		Illegal entry
385		illegal entry
386		Illegal entry
387		illegal entry
388		Illegal entry
389		Illegal entry
390		Illegal entry
391		Illegal entry
392		ilegal entry
393		Illega entry
394		Illegal entry
395		Illegal devices
396		Illegal entry
397		possession of hipo meat
398		illegal possession of hippo meat
399		Possession of hippo meat
400		possession of hippo meat
401		possession of a hippo meat
402		Possession a hippo meat
403		Possession of a hippo meat
404		possession of devices
405		Illegal entry
406		Illegal entry
407		Illegal entry
408		Illegal entry
409		Possession wildlife specimen
410		illegal entry
411		illegal entry
412		illegal fishing
413		Illegal entry
414		Illegal entry
415		Illegal entry
416		Illegal entry
417		Illegal entry
418		Illegal entry
419		illegal entry
420		illegal entry
421		illegal entry
422		Illegal entry
423		Illegal entry
424		Illegal entry
425		Illegal entry
426		Illegal entry
427		Illegal entry
428		Illegal entry
429		Illegal entry
430		Illegal entry
431		Illegal entry
432		Illegal entry
433		ILLEGAL ENTRY
434		Illegal entry
435		Illegal entry
436		Illegal entry
437		illegal entry
438		Illegal entry
439		Illegal entry
440		Negligently permitting domestic a nimals into a wildlife protect
441		Illegal entry
442		Illegal entry
443		Illegal entry
444		illegal entry
445		Illegal entry
446		
447		IllegaI entry into the PA
448		Illegal entry into the PA
449		Illigal entry
450		Possession of soecimen of protected species
451		Possession of soecimen of protected species
452		Possession of soecimen of protected species
453		Illegal entry into the PA
454		Illegal entry into the PA
455		Illegal entry into the PA
456		Illegal entry into the PA
457		Illegal entry into the PA
458		Illegal entry into the PA
459		Illegal entry into the PA
460		Illegal entry into the PA
461		Illegal entry into the PA
462		Illegal entry into the PA
463		Illegal entry into the PA
464		Possession of illegal specimen
465		Possession of illegal specimen
466		Possession of illegal specimen
467		Illegal entry into PA
468		Illegal entry into PA
469		Possession of wildlife specimen
470		Possession of wildlife species
471		Possession of wildlife species
472		Illegal entry into a wildlife protected area
473		Ileegal entry into a wildlife protected area
474		Introduction of domestic animals into a wildlife protected area
475		Introduction of domestic animals into a wildlife protected area
476		Negligently permitting domestic animals into a wildlife protecte
477		Ilegalentry into a wildlife protected area
478		Illegal entry into a wildlife protected area
479		Illegal entry into protected area
480		IllegaL entry
481		Illegal entry into a protecetd area
482		Illegal entry into a protected area
483		Possession of wildlife protected species
484		Possession of wildlife protected
485		Illegal burning of wildlife protected area
486		Illegal entry into a wildlife protected area
487		Illegal entry into awildlife protected area
488		Illegal entry into a wildlife Protected  area
489		Illegal entry into aa wildlife protected area
490		Possession of wildlife specimen
491		Illegal possession of wildlife specimen
492		Possession of wildlife specimen
493		Possession of wildlife specimen
494		Possession of wildlife protected specimen
495		Possession of wildlife protected specimen
496		Illegal entry into awildlife protected area
497		Illegal entry into awildlife protected area
498		Illegal entry into awildlife protected area
